nama_normal,fakultas,program,deskripsi,tahun,nama_topik,jumlah_topik,terkait_sustainability
GEL 3107 Manajemen Bencana TA 2022/2023,Fakultas Geografi,,Kuliah Manajemen Bencana merupakan salah satu kuliah yang muncul akibat perkembangan isu di ...,2022.0,,0,False
Biometrika Sumberdaya Hutan,Fakultas Kehutanan,,Kelas virtual mata kuliah Biometrika SDH - Kelas D ini dimaksudkan untuk memberikan peluang ...,,Pengelolaan Sumber Daya Alam,1,True
Praktikum TTCK Genap 2024/2025 4,Fakultas Teknologi Pertanian,,Praktikum Teknik Tata Cara Kerja merupakan praktikum wajib dimana praktikan dapat melakukan ...,2024.0,,0,False
Praktikum Fisiologi Hewan S1 (3,Fakultas Biologi,Program Sarjana Biologi,Fisiologi hewan merupakan cabang ilmu biologi yang sangat penting dalam mempelajari fungsi ...,,,0,False
Kuliah Fisiologi Hewan (3,Fakultas Biologi,Program Sarjana Biologi,Fisiologi hewan merupakan cabang ilmu biologi yang sangat penting dalam mempelajari fungsi ...,,,0,False
Praktikum Dasar Komunikasi Bisnis dan Inovasi 2026,Fakultas Peternakan,,Tujuan dilakukannya praktikum Dasar Komunikasi Bisnis dan Inovasi adalah untuk : Mahasiswa ...,2026.0,,0,False
Evolution IUP (1,Fakultas Biologi,IUP Biology,"This course is
learning about changes in heritable characters in a biological population. ...",,,0,False
Pekerti - Reproduksi Hewan 101,Fakultas Kedokteran Hewan,,"Mata kuliah ini mempelajari tentang dasar-dasar reproduksi hewan secara umum, dimulai dari ...",,,0,False
FEMINISME,Fakultas Filsafat,,"Mata kuliah
ini merupakan salah satu matakuliah pilihan dalam Fokus Studi Filsafat Sosial ...",,,0,False
Bridging Course,Fakultas Psikologi,Continuing Education Program (CEP),Bridging Course ini bertujuan untuk menyiapkan peserta agar siap belajar sebagai mahasiswa ...,,,0,False
Pengelolaan Limbah B3 2025 copy 1,Fakultas Matematika dan Ilmu Pengetahuan Alam,,Pengelolaan limbah B3 adalah salah satu mata kuliah minat kimia lingkungan. Mahasiswa akan ...,2025.0,Pengelolaan Limbah,1,True
2023-2024 Genap Ekosistem Pertanian,Fakultas Pertanian,,Mata kuliah Ekosistem Pertanian merupakan mata kuliah wajib bagi mahasiswa Pertanian tahun ...,2023.0,Keanekaragaman Hayati,1,True
Banking Technology and Financial Services,Sekolah Vokasi,Sekolah Vokasi,"Welcome to the exciting
world of Fintech! In this course, we’ll explore how technology is ...",,,0,False
Pengelolaan Limbah B3 2026,Fakultas Matematika dan Ilmu Pengetahuan Alam,,Pengelolaan limbah B3 adalah salah satu mata kuliah minat kimia lingkungan. Mahasiswa akan ...,2026.0,Pengelolaan Limbah,1,True
Sejarah Pemikiran,Sekolah Pascasarjana,Sekolah Pascasarjana,Deskripsi Matakuliah Mata kuliah Sejarah Pemikiran Tujuan Pembelajaran 1. Mengetahui 2. Mampu,,,0,False
UAS Fisiologi Lingkungan Ani 2025,Fakultas Pertanian,,Selamat datang di UAS MK Fisiologi Lingkungan Bagian Ani Widiastuti Tahun 2025. Terima kasih.,2025.0,,0,False
2026 Dasar Prosedur Klinis Kedokteran Gigi,Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi,"Topik” Dasar Prosedur
Klinis Kedokteran Gigi ” merupakan pengantar dasar untuk menuju ke ...",2026.0,,0,False
Pekerti,Fakultas Kedokteran Hewan,,Bahasa: Kursus ini membahas peran perikanan dalam ketahanan pangan global dan pengentasan ...,,Pengelolaan Sumber Daya Alam,1,True
Sintaksis Arab; Pengantar Ilmu Bahasa dan Sastra Arab,Fakultas Ilmu Budaya,,Mata kuliah wajib departemen yang bertujuan untuk memberikan pengetahuan mengenai sejarah ...,,,0,False
Teknik dan Tatacara Diagnostik Foto Rontgen,Fakultas Kedokteran Hewan,,"Modul ini memberikan panduan tentang teknik radiografis yang mendukung
proses diagnostik ...",,,0,False
English for Biology Class C 2025,Fakultas Biologi,Program Sarjana Biologi,"This course, ""English for Biology,"" is designed to enhance the English language skills of ...",2025.0,,0,False
Fisiologi Mikrobia (5,Fakultas Biologi,Program Sarjana Biologi,"Fisiologi Mikrobia adalah mata
kuliah pilihan yang mempelajari fungsi sel mikroba secara ...",,,0,False
Penulisan Ilmiah Genap 2026,Fakultas Pertanian,,Mata kuliah mempelajari arti penting melakukan publikasi ilmiah di jurnal bereputasi baik ...,2026.0,,0,False
PRAKTEK KLINIK LAPANGAN KOAS,Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi,"Praktek Klinik Lapangan merupakan mata kuliah yang memberikan
pengalaman langsung kepada ...",,,0,False
STRATEGI INOVASI KREATIF,Fakultas Kehutanan,,"Mata kuliah ini merupakan mata kuliah yang dikhususkan pada pengenalan, dan pendampingan ...",,,0,False
"BLOK PRINSIP KEHIDUPAN, KOMUNIKASI DAN FUNGSI SOSIAL","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,"DESKRIPSI
BLOK PRINSIP KEHIDUPAN, KOMUNIKASI, DAN FUNGSI SOSIAL Blok Prinsip
Kehidupan,...",,,0,False
Immunobiology (8) for IUP,Fakultas Biologi,IUP Biology,"This course studies natural immunity, immunoglobulin, complement system, immune response ...",,,0,False
6 - Bioinformatika (S1,Fakultas Biologi,Program Sarjana Biologi,"Dosen Pengampu: Dra. Tuty Arisuryanti, M.Sc., Ph.D. Dr. Tri Rini Nuringtyas, M.Sc. Lisna ...",,,0,False
Agrostatistika - S1 Fakultas Pertanian UGM,Fakultas Pertanian,,"Mata
kuliah ini membahas mengenai konsep tentang bagaimana merancang suatu
eksperimen, ...",,,0,False
Pencemaran Lingkungan Laut,Fakultas Biologi,Program Sarjana Biologi,"Di mata kuliah ini,  Anda akan belajar untuk memahami konsep Pencemaran Lingkungan Laut, ...",,Pengelolaan Limbah,1,True
Kuliah Imunobiologi (8,Fakultas Biologi,Program Sarjana Biologi,"Mata kuliah ini mempelajari: imunitas alami, imunogenitas & antigen, imunoglobin, sistem ...",,,0,False
Praktikum Rekayasa Genetika & Bioteknologi S2,Fakultas Biologi,Program Magister Biologi,"Praktikum ini mempelajari tentang proses rekayasa genetika pada tumbuhan, hewan dan mikrobia",,,0,False
[PEKERTI] Teknik Budidaya Massa Hayati Terintegrasi,Fakultas Teknologi Pertanian,,Modul ini merupakan penutup dari rangkaian mata kuliah Teknik Budidaya Massa Hayati yang ...,,,0,False
EKOFISIOLOGI TUMBUHAN WI UMI,Fakultas Biologi,Program Sarjana Biologi,Mata Kuliah Ekofistum wajib bagi mahasiswa yang akan mengambil Skripsi di bidang Biologi ...,,,0,False
Analisis Data Geospasial Kehutanan dan Lingkungan,Fakultas Kehutanan,,"Mata kuliah ini mempelajari
tentang konsep dan integrasi penggunaan data digital sistem ...",,Pengelolaan Sumber Daya Alam,1,True
Statistika (Kurikulum 2016,Fakultas Peternakan,,Statistika merupakan mata kuliah wajib fakultas dan sangat menunjang untuk pengembangan ...,2016.0,,0,False
Praktikum Manajemen Konflik untuk Mahasiswa S1 Pendidikan Kedokteran [Blok Longitudinal Leadership],"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,Praktikum Manajemen Konflik untuk Mahasiswa S1 Pendidikan Kedokteran [Blok Longitudinal ...,,,0,False
Arkeologi Asia Selatan,Fakultas Ilmu Budaya,,"Pengetahuan tentang tentang ragam tinggalan
arkeologi di wilayah Asia Selatan ( India, ...",,,0,False
Pekerti - Patologi Umum (2,Fakultas Kedokteran Hewan,,"General pathology is a broad and complex scientific
field that helps to understand the ...",,,0,False
AXIOLOGY (Septiana,Fakultas Filsafat,,"Mata kuliah Aksiologi (Filsafat Nilai)
adalah mata kuliah wajib fakultas. Tujuan utama ...",,,0,False
ELIMINATION AND SKIN/TISSUE INTEGRITY 2026,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,"Blok mempunyai
beberapa topik utama yaitu tentang eliminasi baik fekal maupun urinari ...",2026.0,,0,False
Financial Management Practicum,Sekolah Vokasi,Sekolah Vokasi,"Welcome to the engine
room of the financial world. In this practicum, we move beyond ...",,,0,False
Etika Politik,Fakultas Filsafat,,"Matakuliah Etika
  Politik ini merupakan  salah satu
  matakuliah pilihan yang dapat...",,,0,False
Civil Law,Fakultas Hukum,International Undergraduate Program,This course will provide the basic concept and foundation of civil law by elaborating ...,,,0,False
Praktikum Hewan Model dan Bioetik S2 (4,Fakultas Biologi,Program Magister Biologi,Kegiatan praktikum memuat topik-topik dasar yang bersifat praktis sehingga memudahkan ...,,,0,False
Praktikum Statistika MPP42 2024/2025 Gasal,Sekolah Vokasi,Sekolah Vokasi,Mata kuliah ini merupakan aplikasi lanjut dari teori yang telah didapatkan pada mata ...,2024.0,,0,False
Balaghah wa Dalalah,Fakultas Ilmu Budaya,,"Mata kuliah pilihan
program studi yang memberikan pengetahuan menyangkut pengertian ...",,,0,False
Teknik Kultur Jaringan Tumbuhan,Fakultas Biologi,Program Sarjana Biologi,"Matakuliah Teknik Kultur Jaringan Tumbuhan menjelaskan prinsip
  dasar dan sejarah ...",,,0,False
English For Biology IUP (1,Fakultas Biologi,IUP Biology,"English for Biology (BISB211101) IUP Class Faculty of Biology, Universitas Gadjah Mada",,,0,False
Praktik PIK & PWG 2025,Fakultas Kehutanan,,Praktik Pengantar Ilmu Kehutanan dan Pembelajaran Wanagama Fakultas Kehutanan UGM 2025,2025.0,Pengelolaan Sumber Daya Alam,1,True
Ujian online UTS Genetika Dasar - 2026,Fakultas Peternakan,,Matakuliah Genetika Dasar merupakan matakuliah dasar dan wajib ditempuh oleh semua ...,2026.0,,0,False
Antropologi Agama,Fakultas Ilmu Budaya,,"Kuliah Antropologi Agama bertujuan
  memperkenalkan teori-teori dan konsep kunci ...",,,0,False
4 Praktikum Fotogrametri dan Fotografi Udara,Fakultas Geografi,,Selamat Datang pada Mata Kuliah Praktikum Praktikum Fotogrametri dan Fotografi Udara,,,0,False
Technique in In Vitro Culture (Practice,Fakultas Biologi,Program Magister Biologi,This course is about practice of in vitro culture especially on plant and micro-alga,,,0,False
Botani Ekonomi,Fakultas Biologi,Program Sarjana Biologi,Kode    : BISB211411 SKS       : 2 – 1 Matakuliah Botani Ekonomi diadakan dalam ...,,,0,False
Gerak Bola Mata dan Dasar Strabismus,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,"Pembelajaran fisiologi, anatomi, inervasi gerak bola mata serta dasar strabismus",,,0,False
Anatomi Terapan/Applied Veterinary Anatomy,Fakultas Kedokteran Hewan,,"The course is teaching on: 1. External
  veterinary anatomy and anatomical ...",,,0,False
Laporan Bacaan 2025,Fakultas Ilmu Budaya,,Ini adalah kursus khusus laporan bacaan pengganti Ko-Kurikuller BAL dan BAT 1,2025.0,,0,False
Biotek Fitoaleksin dan Resistensi,Fakultas Pertanian,,Selamat Datang di MK S2 Fitoaleksin dan Resistensi Prodi Bioteknologi UGM,,,0,False
Anatomi dan Histologi - B,Fakultas Peternakan,,Mata kuliah ini mempelajari tentang Anatomi dan Histologi pada ternak.,,,0,False
Anatomi dan Fisiologi,Fakultas Peternakan,,Mata kuliah ini membahas tentang anatomi dan filiologi ternak.,,,0,False
Manajemen Komunikasi dan Informasi Tanggap Darurat,Sekolah Pascasarjana,Sekolah Pascasarjana,Kuliah Manajemen Komunikasi dan Informasi Tanggap Darurat.,,,0,False
"Inovasi, Kepemimpinan dan Literasi Digital Sektor Publik",Sekolah Pascasarjana,Sekolah Pascasarjana,"Inovasi, Kepemimpinan dan Literasi Digital Sektor Publik",,,0,False
Kultur Rekayasa Alga,Fakultas Biologi,Program Sarjana Biologi,Ini adalah halaman elok untuk Kultur Rekayasa Alga s1,,,0,False
Genetika Sel,Fakultas Biologi,Program Sarjana Biologi,"Mempelajari Genetika Sel tanaman , hewan dan manusia",,,0,False
BAHASA INDONESIA KOMPOSISI - PAK RUDI,Fakultas Ilmu Budaya,,Mata Kuliah ini sebagai mata kuliah MKDU universitas,,,0,False
Animal Development IUP 2024,Fakultas Biologi,IUP Biology,This courses is Animal Structure and Development,2024.0,,0,False
Dummy Kewarganegaraan,Fakultas Filsafat,,Mata kuliah ini terkait Kewarganegaraan.,,,0,False
Matematika [] S1 Biologi,Fakultas Biologi,Program Sarjana Biologi,Matematika [MMS1107] S1 Biologi Kelas C,,,0,False
Bioteknologi Pertanian (Agricultural Biotechnology,Fakultas Pertanian,,Mata kuliah Bioteknologi Pertanian,,,0,False
Geografi Lingkungan,Fakultas Geografi,,Mata kuliah ini membahas tentang,,,0,False
Coba coba tidak meledak,Fakultas Teknologi Pertanian,,Coba-coba tidak meledak,,,0,False
Gastronomi Indonesia,Fakultas Teknologi Pertanian,,Gastronomi Indonesia,,,0,False
Pemanfaatan ClinVar,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,Pemanfaatan ClinVar,,,0,False
BIOMEDICAL IMAGING,Sekolah Pascasarjana,Sekolah Pascasarjana,BIOMEDICAL IMAGING,,,0,False
Geografi Manusia,Fakultas Geografi,,RPKPS,,,0,False
Try Out UKMP2DG Mei 2025,Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi,-,2025.0,,0,False
Paleontology IUP (3,Fakultas Biologi,IUP Biology,,,,0,False
Enzimologi S2 Bioteknologi 2021,Sekolah Pascasarjana,Sekolah Pascasarjana,,2021.0,,0,False
Dasar-dasar Analisis Risiko Multi Bencana,Sekolah Pascasarjana,Sekolah Pascasarjana,,,,0,False
Keamanan Informasi Digital,Sekolah Pascasarjana,Sekolah Pascasarjana,,,,0,False
Kepemimpinan Strategik,Sekolah Pascasarjana,Sekolah Pascasarjana,,,,0,False
Manajemen Hubungan Masyarakat,Sekolah Pascasarjana,Sekolah Pascasarjana,,,,0,False
PIONIR PERMADANI 2026,Sekolah Vokasi,Sekolah Vokasi,,2026.0,,0,False
Komunikasi Massa dalam Pembangunan,Sekolah Pascasarjana,Sekolah Pascasarjana,,,,0,False
Magister Bioteknologi - NANOBIOTEKNOLOGI 2022/2023,Sekolah Pascasarjana,Sekolah Pascasarjana,,2022.0,,0,False
Matematika (Biologi) 2022/2023,Fakultas Biologi,IUP Biology,,2022.0,,0,False
Microbial Physiology (5,Fakultas Biologi,IUP Biology,,,,0,False
Schizophrenia,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,,,,0,False
Sosialisasi PPDS 1 Ilmu Kesehatan Mata FKKMK UGM,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,,,,0,False
[Tugas Pekerti] Model Hewan Coba pada Penelitian Biomedis,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,,,,0,False
TRY OUT UKMP2DG FKG UGM,Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi,,,,0,False
Praktikum Stase Kedokteran Gigi Masyarakat dan Pencegahan,Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi,,,,0,False
Kompromis Medis,Fakultas Kedokteran Gigi,Program Spesialis Penyakit Mulut,,,,0,False
Ilmu Reseptir dan Farmasi Veteriner - Pekerti 2026,Fakultas Kedokteran Hewan,,,2026.0,,0,False
Praktikum Ilmu Penyakit Bakterial dan Mikal,Fakultas Kedokteran Hewan,,,,,0,False
Pharmacotherapy II and Toxicology,Fakultas Kedokteran Hewan,,,,,0,False
Praktikum Mikrobiologi Tanah 2025,Fakultas Kehutanan,,,2025.0,,0,False
Praktikum Kesuburan Tanah 2025,Fakultas Kehutanan,,,2025.0,,0,False
Pengelolaan Jasa Lingkungan,Fakultas Kehutanan,,,,,0,False
Ilmu Tanah Hutan 2024,Fakultas Kehutanan,,,2024.0,Pengelolaan Sumber Daya Alam,1,True
Identifikasi dan Mikroteknik Kayu,Fakultas Kehutanan,,,,,0,False
ENFORNATION UGM 2024,Fakultas Kehutanan,,,2024.0,,0,False
Arkeologi Maritim,Fakultas Ilmu Budaya,,,,,0,False
Arkeologi Prasejarah,Fakultas Ilmu Budaya,,,,,0,False
Bahasa Arab Tulis dan Bahasa Arab Lisan II,Fakultas Ilmu Budaya,,,,,0,False
Praktikum Pemrograman Komputer A1 & A2 2025,Sekolah Vokasi,Sekolah Vokasi,,2025.0,,0,False
Praktikum Desain PL 2526,Sekolah Vokasi,Sekolah Vokasi,,,,0,False
ARTHROPODS - SH Klas B/P.Didit,Fakultas Biologi,Program Sarjana Biologi,,,,0,False
Arsitektur Perangkat Lunak AA 2526,Sekolah Vokasi,Sekolah Vokasi,,,,0,False
Implan KG Terpadu,Fakultas Kedokteran Gigi,Program Studi Spesialis Periodonsia,,,,0,False
Data Pasien Residen,Fakultas Kedokteran Gigi,Program Spesialis Ortodonti,,,,0,False
Bahasa Arab Lisan III,Fakultas Ilmu Budaya,,,,,0,False
Bahasa Arab Tulis II,Fakultas Ilmu Budaya,,,,,0,False
Pemuliaan Ikan,Fakultas Biologi,Program Sarjana Biologi,,,,0,False
Medisin Periodontal,Fakultas Kedokteran Gigi,Program Studi Spesialis Periodonsia,,,,0,False
INCULS Lanjut 2 - Membaca 2025,Fakultas Ilmu Budaya,,,2025.0,,0,False
TERAPI MULTIDISIPLIN- Periodonsia,Fakultas Kedokteran Gigi,Program Studi Spesialis Periodonsia,,,,0,False
Teori Bahasa dan Otomata,Fakultas Matematika dan Ilmu Pengetahuan Alam,,,,,0,False
Physics,Fakultas Matematika dan Ilmu Pengetahuan Alam,,,,,0,False
Fisika Atom,Fakultas Matematika dan Ilmu Pengetahuan Alam,,,,,0,False
Transformasi Digital - Test course,Fakultas Biologi,Program Sarjana Biologi,,,,0,False
Bioteknologi Hasil Hutan,Fakultas Kehutanan,,,,Pengelolaan Sumber Daya Alam,1,True
Mock Test ON MIPA bidang Biologi,Fakultas Biologi,Program Sarjana Biologi,,,,0,False
Jaringan Komputer Lanjut - YS 2025-2,Fakultas Matematika dan Ilmu Pengetahuan Alam,,,2025.0,,0,False
Genetika Molekular,Fakultas Biologi,Program Sarjana Biologi,,,,0,False
Kuliah Ikhtiologi (9,Fakultas Biologi,Program Sarjana Biologi,,,,0,False
Matematika - YS,Fakultas Biologi,Program Sarjana Biologi,,,,0,False
Matematika - 2022 - YS,Fakultas Biologi,Program Sarjana Biologi,,2022.0,,0,False
Mikrobiologi (2,Fakultas Biologi,Program Sarjana Biologi,,,,0,False
DCSE Summer Course 2026 - Empowering Society through AI & Robotics,Fakultas Matematika dan Ilmu Pengetahuan Alam,,,2026.0,,0,False
Adat Law Introduction and Selected Issues,Fakultas Hukum,International Undergraduate Program,,,,0,False
Legal Writing and Language IUP,Fakultas Hukum,International Undergraduate Program,,,,0,False
Research Methodology,Fakultas Hukum,International Undergraduate Program,,,,0,False
Tax Law A Semester Genap 2023,Fakultas Hukum,International Undergraduate Program,,2023.0,,0,False
Tax Law B Semester Genap 2023,Fakultas Hukum,International Undergraduate Program,,2023.0,,0,False
Tax Law A,Fakultas Hukum,International Undergraduate Program,,,,0,False
Metodologi Penelitian - 2025-2 - YS,Fakultas Matematika dan Ilmu Pengetahuan Alam,,,2025.0,,0,False
Kapita Selekta Sistem Komputer dan Jaringan,Fakultas Matematika dan Ilmu Pengetahuan Alam,,,,,0,False
Kanji II Semester Genap 2025/2026,Fakultas Ilmu Budaya,,,2025.0,,0,False
2026 Membaca dan Menulis II,Fakultas Ilmu Budaya,,,2026.0,,0,False
PIONIR GEOSPACE 2025,Fakultas Geografi,,,2025.0,,0,False
Penginderaan Jauh,Fakultas Geografi,,,,,0,False
Blok Pengelolaan Lingkungan,Fakultas Geografi,,,,,0,False
4 Kartografi Tematik dan ATLAS,Fakultas Geografi,,,,,0,False
GEL 1401 S1 Ekologi Lingkungan,Fakultas Geografi,,,,Keanekaragaman Hayati,1,True
GEL 3314 Geografi Asia Pasifik,Fakultas Geografi,,,,,0,False
Geografi Perdesaan,Fakultas Geografi,,,,,0,False
Geografi Politik,Fakultas Geografi,,,,,0,False
Bioteknologi Pertanian 2025/2026,Fakultas Pertanian,,,2025.0,,0,False
UAS Biokimia 2026,Fakultas Pertanian,,,2026.0,,0,False
S2) Genetika Populasi dan Kuantitatif Tanaman,Fakultas Pertanian,,,,,0,False
"S3) Metode Laboratorium, Lapangan, dan Analisis Data",Fakultas Pertanian,,,,,0,False
S3) Perspektif dan Etika dalam Pemuliaan Tanaman,Fakultas Pertanian,,,,,0,False
Biologi Molekuler Farmasi REG Genap 2025/2026,Fakultas Farmasi,,,2025.0,,0,False
Stabilitas Produk 2025/2026,Fakultas Farmasi,,,2025.0,,0,False
Pharmaceutical Biotechnology Event Semester 2025/2026,Fakultas Farmasi,,,2025.0,,0,False
AXIOLOGY (S2,Fakultas Filsafat,,,,,0,False
BAHASA INGGRIS FILSAFAT (AWe,Fakultas Filsafat,,,,,0,False
Etika,Fakultas Filsafat,,,,,0,False
Etika Lingkungan Rachmad Hidayat,Fakultas Filsafat,,,,,0,False
PIONIR GEOSPACE 2026,Fakultas Geografi,,,2026.0,,0,False
Botani (102,Fakultas Pertanian,,,,,0,False
English For Academic Purposes 2022 Class B,Fakultas Pertanian,,,2022.0,,0,False
Hubungan Masyarakat MBKM,Fakultas Pertanian,,,,,0,False
ILMU USAHA TANI,Fakultas Pertanian,,,,,0,False
Immunolog Ikan,Fakultas Pertanian,,,,,0,False
MANAJEMEN INDUSTRI PETERNAKAN,Fakultas Peternakan,,,,,0,False
Tax Law B,Fakultas Hukum,International Undergraduate Program,,,,0,False
Inculs - TIAS Pemula 2 - 2026,Fakultas Ilmu Budaya,,,2026.0,,0,False
Analsis Elektronika 2025-2,Fakultas Matematika dan Ilmu Pengetahuan Alam,,,2025.0,,0,False
Matematika Dasar (NYM-MMN,Fakultas Peternakan,,,,,0,False
Matematika,Fakultas Peternakan,,,,,0,False
Pemilihan Mahasiswa Fakultas Peternakan,Fakultas Peternakan,,,,,0,False
User Interfaces and User eXperience Design_2627,Fakultas Teknik,,,,,0,False
Anatomi dan Histologi,Fakultas Peternakan,,,,,0,False
Aneka Ternak Perah PTD 3304,Fakultas Peternakan,,,,,0,False
Animal Behaviour and Welfare,Fakultas Peternakan,,,,,0,False
Engineering Management IUP Ganjil 26/27,Fakultas Teknik,,,,,0,False
Ergonomika eguler Ganjil 26/27,Fakultas Teknik,,,,,0,False
Ergonomics IUP Ganjil 26/27,Fakultas Teknik,,,,,0,False
Molecular Biology IUP Even Semester 2025/2026,Fakultas Farmasi,,,2025.0,,0,False
Pemuliaan Tanaman dan Hewan-9,Fakultas Biologi,Program Magister Biologi,,,,0,False
Course copying in progress copy 6,Fakultas Teknik,,,,,0,False
Course copying in progress copy 5,Fakultas Teknik,,,,,0,False
Introduction to Industrial Engineering Ganjil 26/27,Fakultas Teknik,,,,,0,False
Limnologi Magister Biologi,Fakultas Biologi,Program Magister Biologi,,,,0,False
Teknologi Fermentasi (1,Fakultas Biologi,Program Magister Biologi,,,,0,False
Gasal 2026/2027_1_Farmakokinetika_2 sks,Fakultas Farmasi,,,2026.0,,0,False
Cognitive Engineering and Neuroscience Ganjil 26/27,Fakultas Teknik,,,,,0,False
Problem Analysis,Fakultas Teknik,,,,,0,False
Perencanaan dan Pemodelan Transportasi,Fakultas Teknik,,,,,0,False
Keselamatan dan Kesehatan Kerja (K3,Fakultas Teknik,,,,,0,False
Engineering for Civilization (KKUP - IUP B,Fakultas Teknik,,,,,0,False
2026 STPAM,Fakultas Teknik,,,2026.0,,0,False
Metodologi Penelitian dan Penulisan Ilmiah Genap 25/26,Fakultas Teknik,,,,,0,False
Pengalaman Pengguna & Usabilitas_2526,Fakultas Teknik,,,,,0,False
Biomekanika dan Fisiologi Terapan 2526,Fakultas Teknik,,,,,0,False
Short Course in Agri-Food Sector: Nature X ScienceTech Innovation: Co-Creating Sustainable Agro-Food Industry and Climate Solutions for Resilient Planet,Fakultas Teknologi Pertanian,,,,,0,False
Ekologi Vegetasi TA Gasal 2022/2023,Fakultas Biologi,Program Magister Biologi,,2022.0,Keanekaragaman Hayati,1,True
Kuliah Hewan Model dan Bioetik (4,Fakultas Biologi,Program Magister Biologi,,,,0,False
Kuliah Struktur dan Biologi Fungsional (Hewan) 4,Fakultas Biologi,Program Magister Biologi,,,,0,False
6th Summer Course FTP UGM 2024,Fakultas Teknologi Pertanian,,,2024.0,,0,False
7 th Summer Course in Agri-food Sector: Artificial Intelligence Applications for Advancing the Agri,Fakultas Teknologi Pertanian,,,,,0,False
PEKERTI,Fakultas Teknologi Pertanian,,,,,0,False
Agronomi,Fakultas Teknologi Pertanian,,,,,0,False
Analisis Pengambilan Keputusan - TIP (2021,Fakultas Teknologi Pertanian,,,2021.0,,0,False
Analisis Sistem dan Model,Fakultas Teknologi Pertanian,,,,,0,False
AU-Satuan operasi 1,Fakultas Teknologi Pertanian,,,,,0,False
4th Summer Course FTP 2022,Fakultas Teknologi Pertanian,,,2022.0,,0,False
Ekonomi Teknik,Fakultas Teknologi Pertanian,,,,,0,False
Formulasi dan Fortifikasi Gizi - TPP-3137,Fakultas Teknologi Pertanian,,,,,0,False
Gizi Mikro,Fakultas Teknologi Pertanian,,,,,0,False
Analisis Isyarat Biomedis 2023-2 MTB SPs,Sekolah Pascasarjana,Sekolah Pascasarjana,,2023.0,,0,False
Rangkaian Listrik (IK1BB,Sekolah Vokasi,Sekolah Vokasi,,,,0,False
PIONIR PERMADANI 2025,Sekolah Vokasi,Sekolah Vokasi,,2025.0,,0,False
LSP UGM,Sekolah Vokasi,Sekolah Vokasi,,,,0,False
Agroklimatologi DTPB FTP UGM,Fakultas Teknologi Pertanian,,,,,0,False
Biokimia Farmasi Gasal 2026/2027,Fakultas Farmasi,,,2026.0,,0,False
Kimia Medisinal 2026/2027 (9,Fakultas Farmasi,,,2026.0,,0,False
MMF UAS Genap 2025/2026,Fakultas Farmasi,,,2025.0,,0,False
Farmasi Fisik 1 S1 2026/2027,Fakultas Farmasi,,,2026.0,,0,False
[Pekerti 2026] Systematic Review and Meta Analysis,Fakultas Farmasi,,,2026.0,,0,False
Nanoterapeutik 2026,Fakultas Farmasi,,,2026.0,,0,False
Intervensi Farmasi Berbasis Digital Genap 2025/2026,Fakultas Farmasi,,,2025.0,,0,False
"Summer Course 2026: Traditional Medicine Meets AI: Rooted in Heritage, Driven by Innovation",Fakultas Farmasi,,,2026.0,,0,False
Kosmeseutika Semester Genap 2025/2026,Fakultas Farmasi,,,2025.0,,0,False
MMF UTS GENAP 2025/2026,Fakultas Farmasi,,,2025.0,,0,False
Bahasa Biokomputasi,Sekolah Pascasarjana,Sekolah Pascasarjana,,,,0,False
Artificial Intelligence dalam Teknik Biomedis,Sekolah Pascasarjana,Sekolah Pascasarjana,,,,0,False
Biologi Dasar (Kimia-MIPA,Fakultas Biologi,Program Sarjana Biologi,,,,0,False
3 - Biostatistika (S1,Fakultas Biologi,Program Sarjana Biologi,,,,0,False
Genetika Populasi,Fakultas Biologi,Program Sarjana Biologi,,,,0,False
Biologi Sistem dan Komputasi,Sekolah Pascasarjana,Sekolah Pascasarjana,,,,0,False
