nama_normal,deskripsi,fakultas,program
UAS Fisiologi Lingkungan Ani 2025,Selamat datang di UAS MK Fisiologi Lingkungan Bagian Ani Widiastuti Tahun 2025. Terima kasih.,Fakultas Pertanian,
2026 Dasar Prosedur Klinis Kedokteran Gigi,"Topik” Dasar Prosedur
Klinis Kedokteran Gigi ” merupakan pengantar dasar untuk menuju ke ...",Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi
Pekerti,Bahasa: Kursus ini membahas peran perikanan dalam ketahanan pangan global dan pengentasan ...,Fakultas Kedokteran Hewan,
Sintaksis Arab; Pengantar Ilmu Bahasa dan Sastra Arab,Mata kuliah wajib departemen yang bertujuan untuk memberikan pengetahuan mengenai sejarah ...,Fakultas Ilmu Budaya,
Teknik dan Tatacara Diagnostik Foto Rontgen,"Modul ini memberikan panduan tentang teknik radiografis yang mendukung
proses diagnostik ...",Fakultas Kedokteran Hewan,
English for Biology Class C 2025,"This course, ""English for Biology,"" is designed to enhance the English language skills of ...",Fakultas Biologi,Program Sarjana Biologi
Fisiologi Mikrobia (5,"Fisiologi Mikrobia adalah mata
kuliah pilihan yang mempelajari fungsi sel mikroba secara ...",Fakultas Biologi,Program Sarjana Biologi
Penulisan Ilmiah Genap 2026,Mata kuliah mempelajari arti penting melakukan publikasi ilmiah di jurnal bereputasi baik ...,Fakultas Pertanian,
PRAKTEK KLINIK LAPANGAN KOAS,"Praktek Klinik Lapangan merupakan mata kuliah yang memberikan
pengalaman langsung kepada ...",Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi
STRATEGI INOVASI KREATIF,"Mata kuliah ini merupakan mata kuliah yang dikhususkan pada pengenalan, dan pendampingan ...",Fakultas Kehutanan,
"BLOK PRINSIP KEHIDUPAN, KOMUNIKASI DAN FUNGSI SOSIAL","DESKRIPSI
BLOK PRINSIP KEHIDUPAN, KOMUNIKASI, DAN FUNGSI SOSIAL Blok Prinsip
Kehidupan,...","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Immunobiology (8) for IUP,"This course studies natural immunity, immunoglobulin, complement system, immune response ...",Fakultas Biologi,IUP Biology
6 - Bioinformatika (S1,"Dosen Pengampu: Dra. Tuty Arisuryanti, M.Sc., Ph.D. Dr. Tri Rini Nuringtyas, M.Sc. Lisna ...",Fakultas Biologi,Program Sarjana Biologi
Agrostatistika - S1 Fakultas Pertanian UGM,"Mata
kuliah ini membahas mengenai konsep tentang bagaimana merancang suatu
eksperimen, ...",Fakultas Pertanian,
Pencemaran Lingkungan Laut,"Di mata kuliah ini,  Anda akan belajar untuk memahami konsep Pencemaran Lingkungan Laut, ...",Fakultas Biologi,Program Sarjana Biologi
Kuliah Imunobiologi (8,"Mata kuliah ini mempelajari: imunitas alami, imunogenitas & antigen, imunoglobin, sistem ...",Fakultas Biologi,Program Sarjana Biologi
Praktikum Rekayasa Genetika & Bioteknologi S2,"Praktikum ini mempelajari tentang proses rekayasa genetika pada tumbuhan, hewan dan mikrobia",Fakultas Biologi,Program Magister Biologi
[PEKERTI] Teknik Budidaya Massa Hayati Terintegrasi,Modul ini merupakan penutup dari rangkaian mata kuliah Teknik Budidaya Massa Hayati yang ...,Fakultas Teknologi Pertanian,
EKOFISIOLOGI TUMBUHAN WI UMI,Mata Kuliah Ekofistum wajib bagi mahasiswa yang akan mengambil Skripsi di bidang Biologi ...,Fakultas Biologi,Program Sarjana Biologi
Analisis Data Geospasial Kehutanan dan Lingkungan,"Mata kuliah ini mempelajari
tentang konsep dan integrasi penggunaan data digital sistem ...",Fakultas Kehutanan,
Statistika (Kurikulum 2016,Statistika merupakan mata kuliah wajib fakultas dan sangat menunjang untuk pengembangan ...,Fakultas Peternakan,
Praktikum Manajemen Konflik untuk Mahasiswa S1 Pendidikan Kedokteran [Blok Longitudinal Leadership],Praktikum Manajemen Konflik untuk Mahasiswa S1 Pendidikan Kedokteran [Blok Longitudinal ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Arkeologi Asia Selatan,"Pengetahuan tentang tentang ragam tinggalan
arkeologi di wilayah Asia Selatan ( India, ...",Fakultas Ilmu Budaya,
Pekerti - Patologi Umum (2,"General pathology is a broad and complex scientific
field that helps to understand the ...",Fakultas Kedokteran Hewan,
AXIOLOGY (Septiana,"Mata kuliah Aksiologi (Filsafat Nilai)
adalah mata kuliah wajib fakultas. Tujuan utama ...",Fakultas Filsafat,
ELIMINATION AND SKIN/TISSUE INTEGRITY 2026,"Blok mempunyai
beberapa topik utama yaitu tentang eliminasi baik fekal maupun urinari ...","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Financial Management Practicum,"Welcome to the engine
room of the financial world. In this practicum, we move beyond ...",Sekolah Vokasi,Sekolah Vokasi
Etika Politik,"Matakuliah Etika
  Politik ini merupakan  salah satu
  matakuliah pilihan yang dapat...",Fakultas Filsafat,
Civil Law,This course will provide the basic concept and foundation of civil law by elaborating ...,Fakultas Hukum,International Undergraduate Program
Praktikum Hewan Model dan Bioetik S2 (4,Kegiatan praktikum memuat topik-topik dasar yang bersifat praktis sehingga memudahkan ...,Fakultas Biologi,Program Magister Biologi
Praktikum Statistika MPP42 2024/2025 Gasal,Mata kuliah ini merupakan aplikasi lanjut dari teori yang telah didapatkan pada mata ...,Sekolah Vokasi,Sekolah Vokasi
Balaghah wa Dalalah,"Mata kuliah pilihan
program studi yang memberikan pengetahuan menyangkut pengertian ...",Fakultas Ilmu Budaya,
Teknik Kultur Jaringan Tumbuhan,"Matakuliah Teknik Kultur Jaringan Tumbuhan menjelaskan prinsip
  dasar dan sejarah ...",Fakultas Biologi,Program Sarjana Biologi
English For Biology IUP (1,"English for Biology (BISB211101) IUP Class Faculty of Biology, Universitas Gadjah Mada",Fakultas Biologi,IUP Biology
Praktik PIK & PWG 2025,Praktik Pengantar Ilmu Kehutanan dan Pembelajaran Wanagama Fakultas Kehutanan UGM 2025,Fakultas Kehutanan,
Ujian online UTS Genetika Dasar - 2026,Matakuliah Genetika Dasar merupakan matakuliah dasar dan wajib ditempuh oleh semua ...,Fakultas Peternakan,
Antropologi Agama,"Kuliah Antropologi Agama bertujuan
  memperkenalkan teori-teori dan konsep kunci ...",Fakultas Ilmu Budaya,
4 Praktikum Fotogrametri dan Fotografi Udara,Selamat Datang pada Mata Kuliah Praktikum Praktikum Fotogrametri dan Fotografi Udara,Fakultas Geografi,
Technique in In Vitro Culture (Practice,This course is about practice of in vitro culture especially on plant and micro-alga,Fakultas Biologi,Program Magister Biologi
Botani Ekonomi,Kode    : BISB211411 SKS       : 2 – 1 Matakuliah Botani Ekonomi diadakan dalam ...,Fakultas Biologi,Program Sarjana Biologi
Gerak Bola Mata dan Dasar Strabismus,"Pembelajaran fisiologi, anatomi, inervasi gerak bola mata serta dasar strabismus","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Anatomi Terapan/Applied Veterinary Anatomy,"The course is teaching on: 1. External
  veterinary anatomy and anatomical ...",Fakultas Kedokteran Hewan,
Laporan Bacaan 2025,Ini adalah kursus khusus laporan bacaan pengganti Ko-Kurikuller BAL dan BAT 1,Fakultas Ilmu Budaya,
Biotek Fitoaleksin dan Resistensi,Selamat Datang di MK S2 Fitoaleksin dan Resistensi Prodi Bioteknologi UGM,Fakultas Pertanian,
Anatomi dan Histologi - B,Mata kuliah ini mempelajari tentang Anatomi dan Histologi pada ternak.,Fakultas Peternakan,
Anatomi dan Fisiologi,Mata kuliah ini membahas tentang anatomi dan filiologi ternak.,Fakultas Peternakan,
Manajemen Komunikasi dan Informasi Tanggap Darurat,Kuliah Manajemen Komunikasi dan Informasi Tanggap Darurat.,Sekolah Pascasarjana,Sekolah Pascasarjana
"Inovasi, Kepemimpinan dan Literasi Digital Sektor Publik","Inovasi, Kepemimpinan dan Literasi Digital Sektor Publik",Sekolah Pascasarjana,Sekolah Pascasarjana
Kultur Rekayasa Alga,Ini adalah halaman elok untuk Kultur Rekayasa Alga s1,Fakultas Biologi,Program Sarjana Biologi
Genetika Sel,"Mempelajari Genetika Sel tanaman , hewan dan manusia",Fakultas Biologi,Program Sarjana Biologi
BAHASA INDONESIA KOMPOSISI - PAK RUDI,Mata Kuliah ini sebagai mata kuliah MKDU universitas,Fakultas Ilmu Budaya,
Animal Development IUP 2024,This courses is Animal Structure and Development,Fakultas Biologi,IUP Biology
Dummy Kewarganegaraan,Mata kuliah ini terkait Kewarganegaraan.,Fakultas Filsafat,
Matematika [] S1 Biologi,Matematika [MMS1107] S1 Biologi Kelas C,Fakultas Biologi,Program Sarjana Biologi
Bioteknologi Pertanian (Agricultural Biotechnology,Mata kuliah Bioteknologi Pertanian,Fakultas Pertanian,
Geografi Lingkungan,Mata kuliah ini membahas tentang,Fakultas Geografi,
Coba coba tidak meledak,Coba-coba tidak meledak,Fakultas Teknologi Pertanian,
Gastronomi Indonesia,Gastronomi Indonesia,Fakultas Teknologi Pertanian,
Pemanfaatan ClinVar,Pemanfaatan ClinVar,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
BIOMEDICAL IMAGING,BIOMEDICAL IMAGING,Sekolah Pascasarjana,Sekolah Pascasarjana
Geografi Manusia,RPKPS,Fakultas Geografi,
Try Out UKMP2DG Mei 2025,-,Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi
Paleontology IUP (3,,Fakultas Biologi,IUP Biology
Enzimologi S2 Bioteknologi 2021,,Sekolah Pascasarjana,Sekolah Pascasarjana
Dasar-dasar Analisis Risiko Multi Bencana,,Sekolah Pascasarjana,Sekolah Pascasarjana
Keamanan Informasi Digital,,Sekolah Pascasarjana,Sekolah Pascasarjana
Kepemimpinan Strategik,,Sekolah Pascasarjana,Sekolah Pascasarjana
Manajemen Hubungan Masyarakat,,Sekolah Pascasarjana,Sekolah Pascasarjana
PIONIR PERMADANI 2026,,Sekolah Vokasi,Sekolah Vokasi
Komunikasi Massa dalam Pembangunan,,Sekolah Pascasarjana,Sekolah Pascasarjana
Magister Bioteknologi - NANOBIOTEKNOLOGI 2022/2023,,Sekolah Pascasarjana,Sekolah Pascasarjana
Matematika (Biologi) 2022/2023,,Fakultas Biologi,IUP Biology
Microbial Physiology (5,,Fakultas Biologi,IUP Biology
Schizophrenia,,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Sosialisasi PPDS 1 Ilmu Kesehatan Mata FKKMK UGM,,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
[Tugas Pekerti] Model Hewan Coba pada Penelitian Biomedis,,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
TRY OUT UKMP2DG FKG UGM,,Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi
Praktikum Stase Kedokteran Gigi Masyarakat dan Pencegahan,,Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi
Kompromis Medis,,Fakultas Kedokteran Gigi,Program Spesialis Penyakit Mulut
Ilmu Reseptir dan Farmasi Veteriner - Pekerti 2026,,Fakultas Kedokteran Hewan,
Praktikum Ilmu Penyakit Bakterial dan Mikal,,Fakultas Kedokteran Hewan,
Pharmacotherapy II and Toxicology,,Fakultas Kedokteran Hewan,
Praktikum Mikrobiologi Tanah 2025,,Fakultas Kehutanan,
Praktikum Kesuburan Tanah 2025,,Fakultas Kehutanan,
Pengelolaan Jasa Lingkungan,,Fakultas Kehutanan,
Ilmu Tanah Hutan 2024,,Fakultas Kehutanan,
Identifikasi dan Mikroteknik Kayu,,Fakultas Kehutanan,
ENFORNATION UGM 2024,,Fakultas Kehutanan,
Arkeologi Maritim,,Fakultas Ilmu Budaya,
Arkeologi Prasejarah,,Fakultas Ilmu Budaya,
Bahasa Arab Tulis dan Bahasa Arab Lisan II,,Fakultas Ilmu Budaya,
Praktikum Pemrograman Komputer A1 & A2 2025,,Sekolah Vokasi,Sekolah Vokasi
Praktikum Desain PL 2526,,Sekolah Vokasi,Sekolah Vokasi
ARTHROPODS - SH Klas B/P.Didit,,Fakultas Biologi,Program Sarjana Biologi
Arsitektur Perangkat Lunak AA 2526,,Sekolah Vokasi,Sekolah Vokasi
Implan KG Terpadu,,Fakultas Kedokteran Gigi,Program Studi Spesialis Periodonsia
Data Pasien Residen,,Fakultas Kedokteran Gigi,Program Spesialis Ortodonti
Bahasa Arab Lisan III,,Fakultas Ilmu Budaya,
Bahasa Arab Tulis II,,Fakultas Ilmu Budaya,
Pemuliaan Ikan,,Fakultas Biologi,Program Sarjana Biologi
Medisin Periodontal,,Fakultas Kedokteran Gigi,Program Studi Spesialis Periodonsia
INCULS Lanjut 2 - Membaca 2025,,Fakultas Ilmu Budaya,
TERAPI MULTIDISIPLIN- Periodonsia,,Fakultas Kedokteran Gigi,Program Studi Spesialis Periodonsia
Teori Bahasa dan Otomata,,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Physics,,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Fisika Atom,,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Transformasi Digital - Test course,,Fakultas Biologi,Program Sarjana Biologi
Bioteknologi Hasil Hutan,,Fakultas Kehutanan,
Mock Test ON MIPA bidang Biologi,,Fakultas Biologi,Program Sarjana Biologi
Jaringan Komputer Lanjut - YS 2025-2,,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Genetika Molekular,,Fakultas Biologi,Program Sarjana Biologi
Kuliah Ikhtiologi (9,,Fakultas Biologi,Program Sarjana Biologi
Matematika - YS,,Fakultas Biologi,Program Sarjana Biologi
Matematika - 2022 - YS,,Fakultas Biologi,Program Sarjana Biologi
Mikrobiologi (2,,Fakultas Biologi,Program Sarjana Biologi
DCSE Summer Course 2026 - Empowering Society through AI & Robotics,,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Adat Law Introduction and Selected Issues,,Fakultas Hukum,International Undergraduate Program
Legal Writing and Language IUP,,Fakultas Hukum,International Undergraduate Program
Research Methodology,,Fakultas Hukum,International Undergraduate Program
Tax Law A Semester Genap 2023,,Fakultas Hukum,International Undergraduate Program
Tax Law B Semester Genap 2023,,Fakultas Hukum,International Undergraduate Program
Tax Law A,,Fakultas Hukum,International Undergraduate Program
Metodologi Penelitian - 2025-2 - YS,,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Kapita Selekta Sistem Komputer dan Jaringan,,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Kanji II Semester Genap 2025/2026,,Fakultas Ilmu Budaya,
2026 Membaca dan Menulis II,,Fakultas Ilmu Budaya,
PIONIR GEOSPACE 2025,,Fakultas Geografi,
Penginderaan Jauh,,Fakultas Geografi,
Blok Pengelolaan Lingkungan,,Fakultas Geografi,
4 Kartografi Tematik dan ATLAS,,Fakultas Geografi,
GEL 1401 S1 Ekologi Lingkungan,,Fakultas Geografi,
GEL 3314 Geografi Asia Pasifik,,Fakultas Geografi,
Geografi Perdesaan,,Fakultas Geografi,
Geografi Politik,,Fakultas Geografi,
Bioteknologi Pertanian 2025/2026,,Fakultas Pertanian,
UAS Biokimia 2026,,Fakultas Pertanian,
S2) Genetika Populasi dan Kuantitatif Tanaman,,Fakultas Pertanian,
"S3) Metode Laboratorium, Lapangan, dan Analisis Data",,Fakultas Pertanian,
S3) Perspektif dan Etika dalam Pemuliaan Tanaman,,Fakultas Pertanian,
Biologi Molekuler Farmasi REG Genap 2025/2026,,Fakultas Farmasi,
Stabilitas Produk 2025/2026,,Fakultas Farmasi,
Pharmaceutical Biotechnology Event Semester 2025/2026,,Fakultas Farmasi,
AXIOLOGY (S2,,Fakultas Filsafat,
BAHASA INGGRIS FILSAFAT (AWe,,Fakultas Filsafat,
Etika,,Fakultas Filsafat,
Etika Lingkungan Rachmad Hidayat,,Fakultas Filsafat,
PIONIR GEOSPACE 2026,,Fakultas Geografi,
Botani (102,,Fakultas Pertanian,
English For Academic Purposes 2022 Class B,,Fakultas Pertanian,
Hubungan Masyarakat MBKM,,Fakultas Pertanian,
ILMU USAHA TANI,,Fakultas Pertanian,
Immunolog Ikan,,Fakultas Pertanian,
MANAJEMEN INDUSTRI PETERNAKAN,,Fakultas Peternakan,
Tax Law B,,Fakultas Hukum,International Undergraduate Program
Inculs - TIAS Pemula 2 - 2026,,Fakultas Ilmu Budaya,
Analsis Elektronika 2025-2,,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Matematika Dasar (NYM-MMN,,Fakultas Peternakan,
Matematika,,Fakultas Peternakan,
Pemilihan Mahasiswa Fakultas Peternakan,,Fakultas Peternakan,
User Interfaces and User eXperience Design_2627,,Fakultas Teknik,
Anatomi dan Histologi,,Fakultas Peternakan,
Aneka Ternak Perah PTD 3304,,Fakultas Peternakan,
Animal Behaviour and Welfare,,Fakultas Peternakan,
Engineering Management IUP Ganjil 26/27,,Fakultas Teknik,
Ergonomika eguler Ganjil 26/27,,Fakultas Teknik,
Ergonomics IUP Ganjil 26/27,,Fakultas Teknik,
Molecular Biology IUP Even Semester 2025/2026,,Fakultas Farmasi,
Pemuliaan Tanaman dan Hewan-9,,Fakultas Biologi,Program Magister Biologi
Course copying in progress copy 6,,Fakultas Teknik,
Course copying in progress copy 5,,Fakultas Teknik,
Introduction to Industrial Engineering Ganjil 26/27,,Fakultas Teknik,
Limnologi Magister Biologi,,Fakultas Biologi,Program Magister Biologi
Teknologi Fermentasi (1,,Fakultas Biologi,Program Magister Biologi
Gasal 2026/2027_1_Farmakokinetika_2 sks,,Fakultas Farmasi,
Cognitive Engineering and Neuroscience Ganjil 26/27,,Fakultas Teknik,
Problem Analysis,,Fakultas Teknik,
Perencanaan dan Pemodelan Transportasi,,Fakultas Teknik,
Keselamatan dan Kesehatan Kerja (K3,,Fakultas Teknik,
Engineering for Civilization (KKUP - IUP B,,Fakultas Teknik,
2026 STPAM,,Fakultas Teknik,
Metodologi Penelitian dan Penulisan Ilmiah Genap 25/26,,Fakultas Teknik,
Pengalaman Pengguna & Usabilitas_2526,,Fakultas Teknik,
Biomekanika dan Fisiologi Terapan 2526,,Fakultas Teknik,
Short Course in Agri-Food Sector: Nature X ScienceTech Innovation: Co-Creating Sustainable Agro-Food Industry and Climate Solutions for Resilient Planet,,Fakultas Teknologi Pertanian,
Ekologi Vegetasi TA Gasal 2022/2023,,Fakultas Biologi,Program Magister Biologi
Kuliah Hewan Model dan Bioetik (4,,Fakultas Biologi,Program Magister Biologi
Kuliah Struktur dan Biologi Fungsional (Hewan) 4,,Fakultas Biologi,Program Magister Biologi
6th Summer Course FTP UGM 2024,,Fakultas Teknologi Pertanian,
7 th Summer Course in Agri-food Sector: Artificial Intelligence Applications for Advancing the Agri,,Fakultas Teknologi Pertanian,
PEKERTI,,Fakultas Teknologi Pertanian,
Agronomi,,Fakultas Teknologi Pertanian,
Analisis Pengambilan Keputusan - TIP (2021,,Fakultas Teknologi Pertanian,
Analisis Sistem dan Model,,Fakultas Teknologi Pertanian,
AU-Satuan operasi 1,,Fakultas Teknologi Pertanian,
4th Summer Course FTP 2022,,Fakultas Teknologi Pertanian,
Ekonomi Teknik,,Fakultas Teknologi Pertanian,
Formulasi dan Fortifikasi Gizi - TPP-3137,,Fakultas Teknologi Pertanian,
Gizi Mikro,,Fakultas Teknologi Pertanian,
Analisis Isyarat Biomedis 2023-2 MTB SPs,,Sekolah Pascasarjana,Sekolah Pascasarjana
Rangkaian Listrik (IK1BB,,Sekolah Vokasi,Sekolah Vokasi
PIONIR PERMADANI 2025,,Sekolah Vokasi,Sekolah Vokasi
LSP UGM,,Sekolah Vokasi,Sekolah Vokasi
Agroklimatologi DTPB FTP UGM,,Fakultas Teknologi Pertanian,
Biokimia Farmasi Gasal 2026/2027,,Fakultas Farmasi,
Kimia Medisinal 2026/2027 (9,,Fakultas Farmasi,
MMF UAS Genap 2025/2026,,Fakultas Farmasi,
Farmasi Fisik 1 S1 2026/2027,,Fakultas Farmasi,
[Pekerti 2026] Systematic Review and Meta Analysis,,Fakultas Farmasi,
Nanoterapeutik 2026,,Fakultas Farmasi,
Intervensi Farmasi Berbasis Digital Genap 2025/2026,,Fakultas Farmasi,
"Summer Course 2026: Traditional Medicine Meets AI: Rooted in Heritage, Driven by Innovation",,Fakultas Farmasi,
Kosmeseutika Semester Genap 2025/2026,,Fakultas Farmasi,
MMF UTS GENAP 2025/2026,,Fakultas Farmasi,
Bahasa Biokomputasi,,Sekolah Pascasarjana,Sekolah Pascasarjana
Artificial Intelligence dalam Teknik Biomedis,,Sekolah Pascasarjana,Sekolah Pascasarjana
Biologi Dasar (Kimia-MIPA,,Fakultas Biologi,Program Sarjana Biologi
3 - Biostatistika (S1,,Fakultas Biologi,Program Sarjana Biologi
Genetika Populasi,,Fakultas Biologi,Program Sarjana Biologi
Biologi Sistem dan Komputasi,,Sekolah Pascasarjana,Sekolah Pascasarjana
