Jenjang;fakultas/sekolah;prodi;nama_mk;semester;deskripsi_mk;sumber_deskripsi;status_kepmen;kriteria_kepmen_match;keyword_match
S1;FMIPA;Ilmu Komputer;Organisasi dan Arsitektur Komputer;Semester 5;Mempelajari organisasi dan arsitektur komputer.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Pengantar Statistika;Semester 6;Mempelajari pengantar statistika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Praktikum Algoritma dan Struktur Data;Semester 7;Praktikum pendamping: melatih keterampilan laboratorium/lapangan untuk algoritma dan struktur data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Sistem Digital;Semester 8;Mempelajari sistem digital.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Pancasila;Semester 9;Mempelajari Pancasila sebagai dasar negara, ideologi, dan sistem etika, serta penerapannya dalam kehidupan berbangsa dan bernegara.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Analisis Algoritma dan Kompleksitas;Semester 3;Mempelajari analisis algoritma dan kompleksitas.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Basis Data;Semester 2;Mempelajari basis data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Jaringan Komputer;Semester 3;Mempelajari jaringan komputer.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Kecerdasan Artifisial;Semester 4;Mempelajari kecerdasan buatan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Praktikum Basis Data;Semester 5;Praktikum pendamping: melatih keterampilan laboratorium/lapangan untuk basis data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Praktikum Sistem Komputer dan Jaringan;Semester 6;Praktikum pendamping: melatih keterampilan laboratorium/lapangan untuk sistem komputer dan jaringan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Probabilitas dan Proses Stokastika;Semester 7;Mempelajari probabilitas dan proses stokastik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Sistem Operasi;Semester 8;Mempelajari sistem operasi: proses, memori, berkas, dan penjadwalan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Kewarganegaraan;Semester 9;Mempelajari hak dan kewajiban warga negara, demokrasi, konstitusi, identitas nasional, dan wawasan kebangsaan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Filsafat Ilmu Komputer;Semester 4;Mempelajari hakikat ilmu pengetahuan: ontologi, epistemologi, aksiologi, metode ilmiah, dan etika keilmuan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Pengembangan Startup Digital;Semester 2;Mempelajari pengembangan startup digital.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Metode Rekayasa Perangkat Lunak;Semester 3;Mempelajari metode rekayasa perangkat lunak.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Workshop Iimplementasi Rancangan Perangkat Lunak;Semester 4;Lokakarya implementasi rancangan perangkat lunak.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Pembelajaran Mesin;Semester 5;Mempelajari pembelajaran mesin.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Bahasa dan Otomata;Semester 6;Mempelajari bahasa formal dan otomata.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Metode Numerik;Semester 7;Mempelajari metode numerik: akar persamaan, interpolasi, integrasi, dan persamaan diferensial numerik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Kriptografi dan Keamanan Informasi;Semester 8;Mempelajari kriptografi dan keamanan informasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Kelas Seminar;Semester 5;Kelas seminar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Metodologi Penelitian Ilmu Komputer;Semester 2;Mempelajari filosofi dan desain penelitian, perumusan masalah dan hipotesis, teknik sampling dan pengumpulan data, analisis data, serta etika penelitian.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Pembelajaran Mesin Mendalam;Semester 3;Mempelajari deep learning.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Proyek Rekayasa Perangkat Lunak;Semester 4;Proyek rekayasa perangkat lunak.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;KKN (Kuliah Kerja Nyata);Semester 6;Kuliah Kerja Nyata: pembelajaran-pemberdayaan masyarakat di lokasi desa/wilayah melalui program kerja interdisipliner bersama masyarakat. Hanya dihitung untuk indikator Kepmen bila program kerjanya bertema lingkungan secara substansial (cek laporan/RPS).;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Proposal Skripsi;Semester 7;Penyusunan proposal skripsi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Skripsi;Semester 8;Pelaksanaan penelitian/proyek akhir mandiri di bawah bimbingan dosen, penulisan laporan ilmiah, dan ujian akhir. Keterkaitan dengan kriteria Kepmen bergantung pada topik tiap mahasiswa.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Pengolahan Citra Digital;-;Mempelajari pengolahan citra digital.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Computational Thinking;-;Mempelajari berpikir komputasional.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Grafika Komputer;Semester 4;Mempelajari grafika komputer.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Penglihatan Komputer dan Analisis Citra;-;Mempelajari visi komputer dan analisis citra.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Metode Optimasi;Semester 5;Mempelajari metode optimasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Sains Manajemen;-;Mempelajari sains manajemen dan riset operasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Simulasi Sains;-;Mempelajari simulasi sains.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Tren Penelitian Algoritma dan Komputasi;-;Tren penelitian algoritma dan komputasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Algoritma Terdistribusi dan PemrogramanParalel;Semester 6;Mempelajari algoritma terdistribusi dan pemrograman paralel.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Verifikasi Formal;-;Mempelajari verifikasi formal.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Kapita Selekta Algoritma dan Komputasi;-;Kapita selekta algoritma dan komputasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Tren Penelitian Sistem Cerdas;-;Tren penelitian sistem cerdas.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Logika Fuzzy;Semester 4;Mempelajari logika fuzzy dan sistem inferensi fuzzy.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Pengenalan Pola;-;Mempelajari pengenalan pola.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Algoritma Genetika;Semester 5;Mempelajari algoritma genetika untuk optimasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Bioinformatika;-;Mempelajari bioinformatika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Pemrosesan Bahasa Alami;-;Mempelajari pemrosesan bahasa alami.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Sistem Pakar;Semester 6;Mempelajari sistem pakar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Sistem Pendukung Keputusan;-;Mempelajari sistem pendukung keputusan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Kapita Selekta Sistem Cerdas;-;Kapita selekta sistem cerdas.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Pengembangan UI/UX & Front-end;-;Mempelajari desain UI/UX dan front-end.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Pengembangan Perangkat Lunak Scalable;Semester 4;Mempelajari pengembangan perangkat lunak skalabel.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Pengembangan Aplikasi Mobile;-;Mempelajari pengembangan aplikasi mobile.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Web Semantik;Semester 5;Mempelajari web semantik dan ontologi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Temu Kembali Informasi;-;Mempelajari temu kembali informasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Pengantar Penjaminan Kualitas PerangkatLunak;-;Mempelajari penjaminan kualitas perangkat lunak.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Tren Penelitian Rekayasa Perangkat Lunakdan Data;-;Tren penelitian rekayasa perangkat lunak dan data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Audit dan Forensik Digital;Semester 6;Mempelajari audit dan forensik digital.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Manajemen Proyek Teknologi Informasi;-;Mempelajari manajemen proyek TI.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Analisis Big Data;-;Mempelajari analisis big data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Penambangan Data;-;Mempelajari penambangan data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Pemodelan Jaringan Komunitas Digital;-;Mempelajari pemodelan jaringan komunitas digital.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Kapita Selekta Lab. RPLD;-;Kapita selekta rekayasa perangkat lunak dan data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Perkembangan Terbaru Penelitian SistemKomputer dan Jaringan;-;Mempelajari riset terbaru sistem komputer dan jaringan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Internet of Things dan Aplikasinya;-;Mempelajari IoT dan aplikasinya.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Arsitektur dan Teknologi Data Besar;-;Mempelajari arsitektur dan teknologi big data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Kapita Selekta Sistem Komputer danJaringan;-;Kapita selekta sistem komputer dan jaringan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Pengembangan Pusat Komputasi Data;-;Mempelajari pengembangan pusat data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Komputasi Awan;-;Mempelajari komputasi awan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Telekomunikasi Generasi Lanjut;-;Mempelajari telekomunikasi generasi lanjut.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Arsitektur dan Infrastruktur BerkinerjaTinggi;-;Mempelajari arsitektur komputasi berkinerja tinggi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Keamanan Sistem dan Siber;-;Mempelajari keamanan sistem dan siber.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Lingkungan Cerdas dan Intelijen;-;Mempelajari sistem lingkungan cerdas (smart environment): sensor, IoT, kecerdasan buatan, dan interaksi sistem dengan pengguna dalam ruang/bangunan cerdas.;Kurasi manual;Tidak terkait (nama mirip keyword);;
S1;FMIPA;Ilmu Komputer;Pengantar Blockchain;-;Mempelajari teknologi blockchain.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Internship: Spesifikasi Masalah danDeskripsi Prototipe **;-;Kegiatan praktik kerja di industri/instansi untuk menerapkan kompetensi program studi dan menyusun laporan praktik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Internship: Pengembangan Fitur danModul Proyek **;-;Kegiatan praktik kerja di industri/instansi untuk menerapkan kompetensi program studi dan menyusun laporan praktik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Internship: Sampel dan Definisi DatasetProduk;-;Kegiatan praktik kerja di industri/instansi untuk menerapkan kompetensi program studi dan menyusun laporan praktik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Internship: Implementasi Prototipe Produk**;-;Kegiatan praktik kerja di industri/instansi untuk menerapkan kompetensi program studi dan menyusun laporan praktik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Internship: Pengembangan Back-end;-;Kegiatan praktik kerja di industri/instansi untuk menerapkan kompetensi program studi dan menyusun laporan praktik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Internship: Pengujian Unit dan ModulProyek;-;Kegiatan praktik kerja di industri/instansi untuk menerapkan kompetensi program studi dan menyusun laporan praktik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Internship: Pengujian Integrasi dan Sistem;-;Kegiatan praktik kerja di industri/instansi untuk menerapkan kompetensi program studi dan menyusun laporan praktik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Industri Kreatif dan Game Digital;-;Mempelajari industri kreatif dan pengembangan game digital.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Asistensi Mengajar: Proposal Tutorial TrenPengetahuan Digital **;-;Asistensi mengajar proposal tutorial.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Asistensi Mengajar: Rancangan TutorialModul Digital Interatif **;-;Asistensi mengajar rancangan modul digital.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Asistensi Mengajar: Asistensi Transfer TrenPengetahuan Digital **;-;Asistensi mengajar transfer pengetahuan digital.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Asistensi Mengajar: Kelas SeminarTransformasi Pengetahuan Digital **;-;Asistensi mengajar seminar transformasi digital.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Proyek Independen: Spesifikasi ProyekIndependen **;-;Spesifikasi proyek independen.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Proyek Independen: Proposal ProyekIndependen **;-;Proposal proyek independen.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Proyek Independen: Sampel dan DefinisiDataset Proyek;-;Definisi dataset proyek independen.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Proyek Independen: Implementasi ProyekIndependen **;-;Implementasi proyek independen.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Proyek Independen: Kelas Seminar ProyekIndependen **;-;Seminar proyek independen.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Riset: Spesifikasi Riset Inovasi Mahasiswa**;-;Spesifikasi riset inovasi mahasiswa.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Riset: Proposal Riset Inovasi Mahasiswa **;-;Proposal riset inovasi mahasiswa.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Riset: Sampel dan Definisi Dataset Penelitian;-;Definisi dataset penelitian.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Riset: Implementasi Riset InovasiMahasiswa **;-;Implementasi riset inovasi mahasiswa.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Riset: Kelas Seminar Riset Internship **;-;Seminar riset internship.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Poster Ilmiah Bidang Ilmu Komputer;-;Penyusunan poster ilmiah.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Publikasi Akademik Bidang Ilmu Komputer;-;Penulisan dan penyiapan naskah artikel ilmiah dari hasil penelitian hingga pengiriman ke jurnal/konferensi, termasuk etika publikasi.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Publikasi ilmiah Bereputasi International;-;Penulisan dan penyiapan naskah artikel ilmiah dari hasil penelitian hingga pengiriman ke jurnal/konferensi, termasuk etika publikasi.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Desa Binaan: Spesifikasi Proyek InovasiUrban **;-;Rangkaian proyek inovasi di desa binaan: penyusunan proposal, spesifikasi, implementasi, dan seminar hasil solusi teknologi/sosial bersama masyarakat. Relevansi tema lingkungan bergantung pada proyek tiap kelompok (cek RPS).;Kurasi manual;Parsial/bergantung topik – verifikasi RPS;;
S1;FMIPA;Ilmu Komputer;Desa Binaan: Proposal Proyek InovasiUrban **;-;Rangkaian proyek inovasi di desa binaan: penyusunan proposal, spesifikasi, implementasi, dan seminar hasil solusi teknologi/sosial bersama masyarakat. Relevansi tema lingkungan bergantung pada proyek tiap kelompok (cek RPS).;Kurasi manual;Parsial/bergantung topik – verifikasi RPS;;
S1;FMIPA;Ilmu Komputer;Desa Binaan: Implementasi Proyek InovasiUrban **;-;Rangkaian proyek inovasi di desa binaan: penyusunan proposal, spesifikasi, implementasi, dan seminar hasil solusi teknologi/sosial bersama masyarakat. Relevansi tema lingkungan bergantung pada proyek tiap kelompok (cek RPS).;Kurasi manual;Parsial/bergantung topik – verifikasi RPS;;
S1;FMIPA;Ilmu Komputer;Desa Binaan: Kelas Seminar Proyek InovasiUrban **;-;Rangkaian proyek inovasi di desa binaan: penyusunan proposal, spesifikasi, implementasi, dan seminar hasil solusi teknologi/sosial bersama masyarakat. Relevansi tema lingkungan bergantung pada proyek tiap kelompok (cek RPS).;Kurasi manual;Parsial/bergantung topik – verifikasi RPS;;
S1;FMIPA;Ilmu Komputer;Kewirausahaan: Proposal Rencana Bisnis &Startup **;-;Mempelajari pola pikir dan proses kewirausahaan: identifikasi peluang, model bisnis, validasi pasar, dan perencanaan usaha rintisan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Kewirausahaan: Modul Desain Produk danJasa Startup;-;Mempelajari pola pikir dan proses kewirausahaan: identifikasi peluang, model bisnis, validasi pasar, dan perencanaan usaha rintisan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Kewirausahaan: Modul Prototipe ProdukInovatif;-;Mempelajari pola pikir dan proses kewirausahaan: identifikasi peluang, model bisnis, validasi pasar, dan perencanaan usaha rintisan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Kewirausahaan: Modul Anggaran danKeuangan Startup;-;Mempelajari pola pikir dan proses kewirausahaan: identifikasi peluang, model bisnis, validasi pasar, dan perencanaan usaha rintisan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Kewirausahaan: Modul Laporan KeuanganStartup;-;Mempelajari pola pikir dan proses kewirausahaan: identifikasi peluang, model bisnis, validasi pasar, dan perencanaan usaha rintisan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Kewirausahaan: Modul Pemasaran danPenjualan Usaha;-;Mempelajari pola pikir dan proses kewirausahaan: identifikasi peluang, model bisnis, validasi pasar, dan perencanaan usaha rintisan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Kewirausahaan: Modul Laporan Pemasaran& Analisis;-;Mempelajari pola pikir dan proses kewirausahaan: identifikasi peluang, model bisnis, validasi pasar, dan perencanaan usaha rintisan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Kewirausahaan: Modul Peran danManajemen Super Tim;-;Mempelajari pola pikir dan proses kewirausahaan: identifikasi peluang, model bisnis, validasi pasar, dan perencanaan usaha rintisan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Kewirausahaan: Modul Kepemilikan danBadan Hukum;-;Mempelajari pola pikir dan proses kewirausahaan: identifikasi peluang, model bisnis, validasi pasar, dan perencanaan usaha rintisan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Kewirausahaan: Modul Etika dan AspekLegal dalam Bisnis;-;Mempelajari pola pikir dan proses kewirausahaan: identifikasi peluang, model bisnis, validasi pasar, dan perencanaan usaha rintisan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;FMIPA;Ilmu Komputer;Proyek Kemanusiaan: Tutorial TanggapDarurat Kebencanaan;-;Mempelajari aspek kemanusiaan dan psikososial kebencanaan: tanggap darurat, dukungan psikologis penyintas, pemulihan, dan solusi digital penanggulangan bencana.;Kurasi manual;Parsial/bergantung topik – verifikasi RPS;;
S1;FMIPA;Ilmu Komputer;Proyek Kemanusiaan: Tutorial PemulihanKebencanaan;-;Mempelajari aspek kemanusiaan dan psikososial kebencanaan: tanggap darurat, dukungan psikologis penyintas, pemulihan, dan solusi digital penanggulangan bencana.;Kurasi manual;Parsial/bergantung topik – verifikasi RPS;;
S1;FMIPA;Ilmu Komputer;Proyek Kemanusiaan: Tutorial ManajemenPosko & Logistik;-;Tutorial manajemen posko dan logistik kemanusiaan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Proyek Kemanusiaan: Modul DigitalPenanggulangan Bencana;-;Mempelajari aspek kemanusiaan dan psikososial kebencanaan: tanggap darurat, dukungan psikologis penyintas, pemulihan, dan solusi digital penanggulangan bencana.;Kurasi manual;Parsial/bergantung topik – verifikasi RPS;;
S1;FMIPA;Ilmu Komputer;Proyek Kemanusiaan: Proposal ProyekKemanusiaan **;-;Proposal proyek kemanusiaan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Proyek Kemanusiaan: Implementasi ProyekKemanusian **;-;Implementasi proyek kemanusiaan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Proyek Kemanusiaan: Kelas Seminar ProyekKemanusian **;-;Seminar proyek kemanusiaan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Softskill: Kemampuan Berkomunikasi;-;Melatih kemampuan berkomunikasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Softskill: Kemampuan Kepemimpinan;Semester 2;Melatih kemampuan kepemimpinan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Softskill: Kemampuan Bekerjasama danKolaborasi;Semester 3;Melatih kerja sama dan kolaborasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Softskill: Etos Kerja & Integritas;Semester 4;Melatih etos kerja dan integritas.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Softskill: Emosional dan Empati;Semester 5;Melatih kecerdasan emosional dan empati.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Softskill: Berpikir Kritis, Inovatif, danStrategis;Semester 6;Melatih berpikir kritis, inovatif, dan strategis.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Softskill: Adaptasi;Semester 7;Melatih kemampuan adaptasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Softskill: Public Speaking;Semester 8;Melatih berbicara di depan umum.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Softskill: Membangun Jaringan Kerjasama;Semester 9;Melatih membangun jaringan kerja sama.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Softskill: Negosiasi dan Resolusi Konflik;Semester 10;Melatih negosiasi dan resolusi konflik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Softskill: Kemampuan Motivasi Diri Sendiri;Semester 11;Melatih motivasi diri.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;FMIPA;Ilmu Komputer;Softskill: Multitasking dan PengelolaanAktivitas;Semester 12;Melatih multitasking dan pengelolaan aktivitas.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
